treatment,subset,prompt_id,cycle,baseline_value,treatment_value,pct_change,n_baseline_obs,n_treatment_obs
gate_0.10,structured,structured_08,2,11.182559698138094,16.243341541225316,45.25602348387057,1,1
gate_0.10,structured,structured_03,2,11.317528170794223,15.061861202717452,33.08437121089548,1,1
gate_0.10,structured,structured_02,2,11.143768520648289,10.604896899901329,-4.835631857826953,1,1
gate_0.10,structured,structured_04,2,10.505536731342778,12.220691363345887,16.32619708887434,1,1
gate_0.10,prose,prose_06,2,10.9527044471156,8.733784470701796,-20.25910574988772,1,1
gate_0.10,structured,structured_06,2,11.588063046030529,12.133632680445531,4.7080312926144,1,1
gate_0.10,prose,prose_04,2,10.868170604847963,7.515283464030859,-30.850519951549916,1,1
gate_0.10,prose,prose_01,2,11.098672777516532,7.957198433529772,-28.304955078508982,1,1
gate_0.10,prose,prose_08,2,10.877833160232814,6.649732826541746,-38.86895736871713,1,1
gate_0.10,prose,prose_07,2,10.975137191640172,7.4774793884055475,-31.8689210181246,1,1
gate_0.25,prose,prose_02,1,10.818594738519536,10.262173128935563,-5.143196718542727,1,1
gate_0.25,structured,structured_03,1,12.331883157017483,15.418938257549243,25.033119931687523,1,1
gate_0.25,prose,prose_07,1,11.520323619369531,8.304303890295657,-27.916053709347764,1,1
gate_0.25,prose,prose_01,1,11.132592942481907,8.605288725873967,-22.70184699706177,1,1
gate_0.25,structured,structured_08,1,11.655016482739486,17.22506962251849,47.79103614334637,1,1
gate_0.25,prose,prose_05,1,11.38172843338473,8.707785705937829,-23.493292280667397,1,1
gate_0.25,prose,prose_04,1,11.376057732721216,8.121374910683912,-28.609935871508334,1,1
gate_0.25,structured,structured_07,1,11.456520260768706,10.874751257550964,-5.078060265907536,1,1
gate_0.25,structured,structured_04,1,11.481410717706005,14.029460867806241,22.192831636714924,1,1
gate_0.25,prose,prose_06,1,11.231959160200523,8.903949888485243,-20.726653636387667,1,1
gate_0.25,prose,prose_08,1,11.424909481783288,8.074087492173016,-29.32909004621059,1,1
gate_0.25,prose,prose_03,1,11.150570538100197,8.403229337503921,-24.638570656173442,1,1
gate_0.25,structured,structured_05,1,11.37708962991377,11.234620408518268,-1.2522466292337964,1,1
gate_0.25,structured,structured_02,1,11.502700518389002,12.134474913842704,5.492400627519635,1,1
gate_0.25,structured,structured_01,1,11.429697384394427,10.624932731943487,-7.040997021931027,1,1
gate_0.25,structured,structured_06,1,12.414219304562437,12.693251938153088,2.247685712206661,1,1
gate_0.25,structured,structured_08,2,11.182559698138094,16.706696412469302,49.3995727583818,1,1
gate_0.25,structured,structured_05,2,11.336509693361416,10.595676481884578,-6.534932104461262,1,1
gate_0.25,prose,prose_06,2,10.9527044471156,8.137640585946711,-25.701997846844467,1,1
gate_0.25,structured,structured_07,2,10.852616602150844,10.371386716766319,-4.434229117512105,1,1
gate_0.25,prose,prose_07,2,10.975137191640172,8.545879343434663,-22.13419117945869,1,1
gate_0.25,prose,prose_04,2,10.868170604847963,8.22283618897909,-24.34019957957662,1,1
gate_0.25,structured,structured_04,2,10.505536731342778,12.767252798160875,21.528800713916628,1,1
gate_0.25,prose,prose_03,2,10.921211131660746,7.9911333217287615,-26.829238759405055,1,1
gate_0.25,structured,structured_06,2,11.588063046030529,12.758327921014008,10.098882533991315,1,1
gate_0.25,prose,prose_02,2,10.949787369161744,10.223408671862426,-6.633724225047897,1,1
gate_0.25,structured,structured_01,2,10.769053071954753,10.701410225716689,-0.6281225079503261,1,1
gate_0.25,prose,prose_08,2,10.877833160232814,8.637472927095295,-20.59564804990601,1,1
gate_0.25,prose,prose_05,2,10.950052458433285,8.324693728692484,-23.975763949138496,1,1
gate_0.25,structured,structured_02,2,11.143768520648289,11.781910620927713,5.726447916582353,1,1
gate_0.25,structured,structured_03,2,11.317528170794223,14.507453233603714,28.185704640359067,1,1
gate_0.25,prose,prose_01,2,11.098672777516532,8.924654321154861,-19.588093999543382,1,1
