treatment,subset,prompt_id,cycle,baseline_value,treatment_value,pct_change,n_baseline_obs,n_treatment_obs
gate_0.90,structured,structured_04,1,10.24552950408247,15.266218289722792,49.00370238199754,1,1
gate_0.90,structured,structured_03,1,10.65249869568539,19.16665157185874,79.92634516465006,1,1
gate_0.90,prose,prose_02,1,9.92482008095551,12.361621264770843,24.552598071689488,1,1
gate_0.90,prose,prose_05,1,9.844074569743409,12.219993143290859,24.135519867454434,1,1
gate_0.90,structured,structured_01,1,10.09872548461198,14.681992621270815,45.38460960883259,1,1
gate_0.90,structured,structured_07,1,9.928929113735823,14.948381072639513,50.5538099970893,1,1
gate_0.90,structured,structured_06,1,10.183519220500305,13.687286100437106,34.40624801771293,1,1
gate_0.90,structured,structured_02,2,10.515281602934397,14.572160719199106,38.580793833734276,1,1
gate_0.90,prose,prose_06,2,10.277865293301948,12.619766265191917,22.78586948805583,1,1
gate_0.90,prose,prose_01,2,10.48618241207776,12.35486452121687,17.820423445874848,1,1
gate_0.90,structured,structured_08,2,10.466075171629663,18.218666919660397,74.07353397427953,1,1
gate_0.90,prose,prose_05,2,10.173756831887186,12.490511162596986,22.77186656799672,1,1
gate_0.90,structured,structured_06,2,10.536350276749042,13.666213022477686,29.705378651234,1,1
gate_0.90,prose,prose_04,2,10.44017823251012,12.704240065039539,21.686045794498607,1,1
gate_0.90,structured,structured_03,2,11.112198954238975,19.15993649310097,72.42254725642779,1,1
gate_0.90,prose,prose_02,2,10.454450376256895,12.492716456092047,19.49663546602372,1,1
gate_0.90,structured,structured_01,2,10.20391934490391,14.94213631055527,46.43526477909434,1,1
gate_0.90,prose,prose_07,2,10.387477681932532,12.47325678870207,20.079745734591942,1,1
gate_0.90,structured,structured_05,2,10.780208219881256,15.302654352203113,41.951380159628044,1,1
gate_0.90,structured,structured_07,2,10.557759650161083,15.395421175470506,45.82090979155425,1,1
gate_0.90,structured,structured_04,2,10.256237808548166,16.039401680739275,56.38679582264631,1,1
gate_0.90,prose,prose_03,2,10.386659515843311,12.299499792416558,18.41631829420703,1,1
gate_0.90,prose,prose_08,2,10.309625363823834,12.35757864552724,19.864478188408413,1,1
ungated,prose,prose_07,1,9.861662719860256,8.02019928493918,-18.67295087280343,1,1
ungated,structured,structured_06,1,10.183519220500305,12.757398638069022,25.274950258720732,1,1
ungated,prose,prose_02,1,9.92482008095551,8.159579990616228,-17.786116785397013,1,1
ungated,structured,structured_08,1,9.962637588497653,17.14193876984715,72.06225377141439,1,1
ungated,prose,prose_08,1,9.85967750025386,7.1106134268282855,-27.881886333044797,1,1
ungated,structured,structured_04,1,10.24552950408247,12.628349365326537,23.25716655537033,1,1
ungated,prose,prose_03,1,9.868003546380082,7.190892115030929,-27.129210267979772,1,1
ungated,prose,prose_06,1,10.234310124072747,9.1372494232923,-10.719439683579493,1,1
ungated,prose,prose_05,1,9.844074569743409,7.829735334485043,-20.46245404773352,1,1
ungated,structured,structured_01,1,10.09872548461198,10.046788402783081,-0.5142934314635975,1,1
ungated,structured,structured_02,1,10.22148507668562,11.764714256062144,15.097895929980913,1,1
ungated,prose,prose_01,1,10.03844271790706,8.225272080202895,-18.062270101613898,1,1
ungated,structured,structured_07,1,9.928929113735823,10.388090465373011,4.6244801063387415,1,1
ungated,prose,prose_04,1,9.85085668253909,8.076770433271406,-18.009461577207798,1,1
ungated,structured,structured_03,1,10.65249869568539,15.362963391276283,44.219340740203855,1,1
ungated,structured,structured_05,1,10.1703397455531,11.944566394930485,17.44510698527206,1,1
ungated,prose,prose_06,2,10.277865293301948,9.415165599089288,-8.393763389513175,1,1
ungated,prose,prose_05,2,10.173756831887186,7.945245912317455,-21.904503482774434,1,1
ungated,structured,structured_02,2,10.515281602934397,11.908034999623846,13.245041352965632,1,1
ungated,structured,structured_01,2,10.20391934490391,10.976399054412967,7.570421554682828,1,1
ungated,structured,structured_06,2,10.536350276749042,13.23232473994221,25.587365571382687,1,1
ungated,structured,structured_07,2,10.557759650161083,10.51570766903104,-0.39830402020377603,1,1
ungated,prose,prose_02,2,10.454450376256895,8.457841043869799,-19.098175997100686,1,1
ungated,prose,prose_07,2,10.387477681932532,8.308393632760348,-20.015292574716582,1,1
ungated,prose,prose_03,2,10.386659515843311,7.32107396031753,-29.514643768284543,1,1
ungated,structured,structured_03,2,11.112198954238975,15.77289653599432,41.94217185049073,1,1
ungated,prose,prose_01,2,10.48618241207776,8.435426746930593,-19.55674224000862,1,1
ungated,structured,structured_08,2,10.466075171629663,18.002303097283875,72.00624686972081,1,1
ungated,prose,prose_04,2,10.44017823251012,8.26714551327734,-20.81413430726766,1,1
ungated,prose,prose_08,2,10.309625363823834,7.766572580209676,-24.66678171000911,1,1
ungated,structured,structured_04,2,10.256237808548166,13.484480377659523,31.475894274026537,1,1
ungated,structured,structured_05,2,10.780208219881256,13.129645165061914,21.79398484017906,1,1
